insert_id,distinct_id,time,event,colorTheme,luckyNumber
98203599feef5ea9931740b8031ba3cf705da639,7e1dd089-8773-5fc9-a3bc-37ba5f186ffe,2023-07-0 03:34:06,page_view,yellow,420
27483e0682e0c44fed1075fc2d0120956f099514,7e1dd089-8773-5fc9-a3bc-37ba5f186ffe,2023-06-22 06:04:24,page_view,violet,79
d85b0f44e6be6c43ac47aeda952f3526e2c288aa,7e1dd089-8773-5fc9-a3bc-37ba5f186ffe,2023-06-08 11:07:54,page_view,indigo,2
8901a59db354e93181d4836e28f09a664132b958,274fb591-d53e-59cc-8cf0-5ad05197d384,2023-06-06 02:49:28,log_in,yellow,41
d0b8db2d36f3af5549187b1fd3fb7a33d9761258,274fb591-d53e-59cc-8cf0-5ad05197d384,2023-07-07 07:48:54,watch_video,orange,83
154a5f8e920e5b678555501c9ac8c0d590bb4d11,f4141b18-5516-5e36-bfec-75b27a6c9a55,2023-06-19 08:00:24,page_view,indigo,2
1d60077073eeed7a3eee71f8c83fbca1f40334ba,e6030963-d08b-5ee3-ba22-92fb186adadd,2023-06-28 12:34:13,link_click,blue,420
1175967b64c044e1b6923d0367234c814db413fc,e6030963-d08b-5ee3-ba22-92fb186adadd,2023-07-11 08:43:05,page_view,violet,83
f0012a22240ff5d264ea9b7702cc1ad76602ff77,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2023-07-14 10:43:54,link_click,green,71
cf4f527db2e3a24456c02ec713b7545c23878f54,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2023-07-02 01:45:20,page_view,violet,42
1e63fc6975ba0e09deb343946aec27ae7234eb3e,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2023-07-08 12:04:44,page_view,indigo,3
3fbfcef88e6b9bc9c8e0c49f322fb74939a16dca,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2023-07-01 04:51:35,page_view,green,89
82cb194d88485e927056936ab1e716db10b04fa4,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2023-06-11 05:42:57,button_click,indigo,13
72361f2a2d82bb260c7aef0db65c150ccdb51264,2cf23817-dfa9-506d-892b-0a771147b5b9,2023-07-04 09:58:13,page_view,red,2
a6c4de3cfddce245f0debbd8bfd98fd04ff356b2,709a878f-1a5a-55d4-902a-93700a9af939,2023-07-10 10:25:18,button_click,blue,13
13de85ae96efb763db82d9705dba1f88cb04c651,709a878f-1a5a-55d4-902a-93700a9af939,2023-06-09 11:32:16,watch_video,blue,23
ff635f6ef772b59d09358e69b7738444f11016f0,709a878f-1a5a-55d4-902a-93700a9af939,2023-07-07 07:33:58,page_view,indigo,43
8ef7c62793eb5eb30d7ee0c6241303f9ae18a614,709a878f-1a5a-55d4-902a-93700a9af939,2023-06-11 01:14:39,log_in,blue,67
33942357c3be9f11d57f1f151193375deec56478,a1e02d3d-778b-5816-a08b-1bc7a044c5fe,2023-07-05 09:21:36,watch_video,yellow,89
19759c550ed35a3265c69468029aaa1aecece118,a1e02d3d-778b-5816-a08b-1bc7a044c5fe,2023-07-06 06:57:55,log_in,violet,19
5e88b697422ba8af7bd12a4648d1d538f0192b0a,a1e02d3d-778b-5816-a08b-1bc7a044c5fe,2023-07-11 04:48:09,watch_video,orange,67
a9f69e29c103dc1b7994bcfe988bb0aae809b9b6,a1e02d3d-778b-5816-a08b-1bc7a044c5fe,2023-06-16 11:10:25,page_view,violet,7
7b3e4e099b2ae42504dd6df83a07d68321022a78,a1e02d3d-778b-5816-a08b-1bc7a044c5fe,2023-07-02 04:23:18,page_view,indigo,89
99a2097df7535760668f1d131a01aa2ac3dd4bc5,16750888-1f45-55d1-9faa-62609cf53d93,2023-06-25 12:39:33,log_in,indigo,13
99ace1f1fe91708919ab0221d68eb38244a99a69,ecc31131-c9ac-5efa-9270-d9bf878b66d1,2023-07-14 10:19:10,button_click,orange,37
79d5a9f5cb1780e52048a46fa3906dfc1e841cbe,7f3d997a-8c37-56e0-8058-55f89de44ab8,2023-06-25 10:32:56,button_click,orange,71
82077357e2cc8d6a4a0c1ab13e7656f77d748907,7f3d997a-8c37-56e0-8058-55f89de44ab8,2023-06-27 11:52:45,log_in,green,31
659b7230b04051e7dfc065eb9c7e5c0a176213ec,7f3d997a-8c37-56e0-8058-55f89de44ab8,2023-07-14 09:12:09,watch_video,indigo,41
7e9fc3b283c20d28fb82d709134ac646e9a6d771,7f3d997a-8c37-56e0-8058-55f89de44ab8,2023-06-07 11:26:59,page_view,green,17
1d89fc8aef0ea55d5506b929063f403bf253a6a9,4d47fab8-2037-5ec1-8eae-66019b9686b6,2023-07-14 06:11:26,page_view,blue,71
868894664089ce38ebe546aa1c2d0c4a6448b16f,4d47fab8-2037-5ec1-8eae-66019b9686b6,2023-07-06 01:33:12,page_view,indigo,29
ad472fb325daefb783563289cf26e44bbb17e476,4d47fab8-2037-5ec1-8eae-66019b9686b6,2023-06-28 02:33:58,page_view,violet,13
4099d26c630bd9997de85b58849b81d06e6effd9,4d47fab8-2037-5ec1-8eae-66019b9686b6,2023-06-30 01:16:16,watch_video,indigo,29
cb8408174079d12f6a703377a6e652e3d46e4094,4d47fab8-2037-5ec1-8eae-66019b9686b6,2023-07-08 06:35:36,link_click,yellow,83
4893d8579936480ec3a17d256ac9d14812c91bcf,dcd18860-618c-5673-bce3-f673dfcfeb33,2023-06-17 02:14:42,page_view,indigo,11
941e229d9454c9b0e9fcca2a01c6bfa81842f2da,dcd18860-618c-5673-bce3-f673dfcfeb33,2023-06-14 09:53:34,button_click,orange,42
fb560eda4a0cc542e72970a97d0f67b2ca539a39,195f743a-4a13-591a-a854-984a17841fff,2023-07-10 09:37:07,watch_video,orange,42
afae8b2325671cef7c76773ec34071084f429a8e,996890c2-2108-5009-8d21-79e98db5ca53,2023-07-01 11:20:23,page_view,green,19
098eb62f2a09e2c87684dc4abd20d779b5ed8247,3b03ccbe-7cb4-5d82-ac54-f97633e0ffd1,2023-07-05 06:37:46,button_click,indigo,47
d2fa54ffe0a75c4f91e011d2130684ae3380b80a,3b03ccbe-7cb4-5d82-ac54-f97633e0ffd1,2023-06-08 11:23:11,page_view,orange,42
f695aed5c1f668631a57c23c3f384591b8d2b6a2,f805ff33-1ff7-54d3-8eab-96064cba0ae6,2023-06-04 09:04:09,page_view,yellow,89
5db0e53d69bf3c394d62bd59e0fb65656796961d,b1391394-cb4d-5f7e-a99e-03a1d2ecb208,2023-06-29 03:38:11,page_view,green,89
3f14e16bd11c17a59fd5083c822de2ac755c4723,b1391394-cb4d-5f7e-a99e-03a1d2ecb208,2023-06-11 09:05:01,page_view,indigo,47
7dbc4817109baee701d22f497a88c5624b1b6544,b1391394-cb4d-5f7e-a99e-03a1d2ecb208,2023-07-03 03:24:22,link_click,indigo,31
24a8f68db070dceacca30d07c17c95a03d0b9c35,6e401518-4509-5c71-900a-0bec7e8c933e,2023-07-10 10:00:31,page_view,violet,89
c2f16e7646196e32741933cee1b08b93fa2d2e2f,6e401518-4509-5c71-900a-0bec7e8c933e,2023-07-09 07:57:42,page_view,yellow,2
75417500750729bd8c4abbdc73e36e3c9f1ddad3,73269584-a9a3-5c7c-962f-7730b1ed1e6a,2023-07-03 08:19:21,watch_video,violet,71
e76baea08a42210f396a6671a617d75b72a80750,73269584-a9a3-5c7c-962f-7730b1ed1e6a,2023-06-24 07:46:14,button_click,yellow,420
